@relation application_record

@attribute ID numeric
@attribute CODE_GENDER {M,F}
@attribute FLAG_OWN_CAR {Y,N}
@attribute FLAG_OWN_REALTY {Y,N}
@attribute CNT_CHILDREN numeric
@attribute AMT_INCOME_TOTAL numeric
@attribute NAME_INCOME_TYPE {Working,'Commercial associate',Pensioner,'State servant'}
@attribute NAME_EDUCATION_TYPE {'Higher education','Secondary / secondary special','Incomplete higher'}
@attribute NAME_FAMILY_STATUS {'Civil marriage',Married,'Single / not married',Separated,Widow}
@attribute NAME_HOUSING_TYPE {'Rented apartment','House / apartment'}
@attribute DAYS_BIRTH numeric
@attribute DAYS_EMPLOYED numeric
@attribute FLAG_MOBIL numeric
@attribute FLAG_WORK_PHONE numeric
@attribute FLAG_PHONE numeric
@attribute FLAG_EMAIL numeric
@attribute OCCUPATION_TYPE {'Security staff','Sales staff',Accountants,Laborers,Managers,Drivers,'Core staff'}
@attribute CNT_FAM_MEMBERS numeric

@data

5008804,M,Y,Y,0,427500,Working,'Higher education','Civil marriage','Rented apartment',-12005,-4542,1,1,0,0,?,2
5008805,M,Y,Y,0,427500,Working,'Higher education','Civil marriage','Rented apartment',-12005,-4542,1,1,0,0,?,2
5008806,M,Y,Y,0,112500,Working,'Secondary / secondary special',Married,'House / apartment',-21474,-1134,1,0,0,0,'Security staff',2
5008808,F,N,Y,0,270000,'Commercial associate','Secondary / secondary special','Single / not married','House / apartment',-19110,-3051,1,0,1,1,'Sales staff',1
5008809,F,N,Y,0,270000,'Commercial associate','Secondary / secondary special','Single / not married','House / apartment',-19110,-3051,1,0,1,1,'Sales staff',1
5008810,F,N,Y,0,270000,'Commercial associate','Secondary / secondary special','Single / not married','House / apartment',-19110,-3051,1,0,1,1,'Sales staff',1
5008811,F,N,Y,0,270000,'Commercial associate','Secondary / secondary special','Single / not married','House / apartment',-19110,-3051,1,0,1,1,'Sales staff',1
5008812,F,N,Y,0,283500,Pensioner,'Higher education',Separated,'House / apartment',-22464,365243,1,0,0,0,?,1
5008813,F,N,Y,0,283500,Pensioner,'Higher education',Separated,'House / apartment',-22464,365243,1,0,0,0,?,1
5008814,F,N,Y,0,283500,Pensioner,'Higher education',Separated,'House / apartment',-22464,365243,1,0,0,0,?,1
5008815,M,Y,Y,0,270000,Working,'Higher education',Married,'House / apartment',-16872,-769,1,1,1,1,Accountants,2
5112956,M,Y,Y,0,270000,Working,'Higher education',Married,'House / apartment',-16872,-769,1,1,1,1,Accountants,2
