@relation train

@attribute Gender numeric
@attribute Own_car numeric
@attribute Own_property numeric
@attribute Num_children numeric
@attribute Income numeric
@attribute Income_type numeric
@attribute Family_status numeric
@attribute Work_phone numeric
@attribute Phone numeric
@attribute Occupation_type numeric
@attribute Age numeric
@attribute Target numeric

@data

0,0,1,0,41,0.047033,0.030788,0,0,0.034364,40,0
0,0,1,0,104,0.028561,0.030788,0,0,0.03184,16,0
0,1,1,2,62,0.026531,0.030788,0,0,0.042457,10,0
1,0,1,0,104,0.026531,0.042885,0,0,0.042457,9,0
1,1,1,0,192,0.028561,0.042885,0,0,0.022635,4,0
0,0,1,0,212,0.028561,0.030788,0,0,0.03466,38,0
0,0,1,3,230,0.047033,0.030788,0,0,0.034364,41,0
0,0,0,0,32,0.047033,0.030788,0,0,0.034364,41,0
1,1,1,0,118,0.028561,0.037599,0,0,0.03466,34,0
0,1,1,0,77,0.047033,0.030788,0,0,0.034364,28,0
0,0,1,0,54,0.028561,0.042885,0,0,0.034364,33,1
0,1,1,0,145,0.028561,0.030788,0,0,0.022635,22,0
1,1,1,2,192,0.034766,0.030788,0,0,0.03184,24,0
1,0,1,0,222,0.034766,0.030788,0,1,0.026651,24,0
0,0,1,0,145,0.028561,0.048571,0,0,0.008547,43,0
1,0,0,0,104,0.028561,0.030788,0,0,0.034364,20,0
0,0,1,0,62,0.047033,0.037599,0,0,0.034364,33,0
1,1,1,0,77,0.028561,0.030788,0,1,0.084967,42,0
0,0,0,0,62,0.028561,0.022543,0,0,0.027638,28,0
1,0,0,1,180,0.028561,0.037599,0,1,0.042726,24,0
1,1,0,2,197,0.026531,0.030788,0,1,0.026651,22,0
0,0,1,0,192,0.047033,0.042885,0,1,0.034364,38,0
1,1,1,1,170,0.028561,0.030788,0,0,0.03466,21,0
0,0,1,0,145,0.026531,0.030788,0,0,0.042457,27,0
0,1,1,1,197,0.034766,0.042885,1,1,0.032887,17,0
1,0,0,0,120,0.026531,0.030788,0,0,0.042457,12,0
0,0,1,0,54,0.047033,0.037599,0,0,0.034364,43,0
